strategy	trades	pnl_total	pnl_avg	win_rate	worst	best
p6 reversal	1053	382564.37	363.31	64.6	-1005.65	2035.13
p1 squeeze	403	142599.4	353.84	62.0	-997.99	2011.76
c6 reversal	903	129882.22	143.83	63.2	-1492.93	1521.12
p2 trend	255	65155.03	255.51	59.2	-1007.3	2003.35
c1 squeeze	454	41225.39	90.8	59.5	-1422.64	1518.09
c2 trend	358	26315.85	73.51	54.5	-1479.3	1540.9
p3 bounce	59	12381.2	209.85	54.2	-976.68	2020.77
p5 continuation	57	7877.17	138.2	42.1	-1000.7	1964.37
c5 continuation	73	2640.11	36.17	53.4	-1323.09	1538.05
c3 bounce	80	-979.54	-12.24	51.3	-1471.93	1513.4
