ticker	trades	pnl_total	win_rate
ADBE	84	54274.99	65.5
CRM	74	53058.38	68.9
AAPL	138	50424.53	64.5
COIN	66	42248.89	66.7
AMZN	106	36402.14	60.4
DIA	79	35429.79	68.4
CEG	59	34863.01	64.4
BA	75	33098.08	66.7
CRWD	53	27768.99	60.4
GEV	56	22364.7	51.8
IBM	44	21861.48	68.2
BABA	51	21003.6	76.5
JPM	62	20787.12	62.9
LLY	50	20613.3	58.0
CVX	61	19464.84	68.9
ARM	49	18641.95	69.4
DIS	75	17622.97	65.3
AMD	81	17074.54	59.3
GOOGL	55	16134.6	56.4
ALB	69	14979.01	62.3
AMAT	59	13624.15	59.3
IWM	41	12663.36	65.9
AVGO	53	12039.23	52.8
GE	61	11772.53	54.1
GLW	62	10498.64	61.3
GOOG	51	10283.83	51.0
C	56	9929.69	64.3
ARKK	71	8971.37	62.0
CMG	78	8569.84	66.7
DELL	48	8438.05	50.0
