strategy	year	trades	pnl	win_rate
c1 squeeze	2018	1	-64.66	0.0
c1 squeeze	2019	16	3454.35	81.3
c1 squeeze	2021	1	807.3	100.0
c1 squeeze	2023	36	-575.4	55.6
c1 squeeze	2024	129	14650.02	57.4
c1 squeeze	2025	228	16068.76	57.5
c1 squeeze	2026	43	6885.02	72.1
c2 trend	2019	12	3264.74	83.3
c2 trend	2020	1	-196.77	0.0
c2 trend	2021	2	1529.91	100.0
c2 trend	2022	9	1931.62	77.8
c2 trend	2023	38	14.53	42.1
c2 trend	2024	218	21315.9	56.0
c2 trend	2025	62	-2665.22	48.4
c2 trend	2026	16	1121.14	50.0
c3 bounce	2023	2	1026.61	100.0
c3 bounce	2024	42	-2763.65	50.0
c3 bounce	2025	30	-2520.82	46.7
c3 bounce	2026	6	3278.32	66.7
c5 continuation	2018	1	-94.68	0.0
c5 continuation	2019	5	-144.77	40.0
c5 continuation	2020	3	14.5	66.7
c5 continuation	2021	5	148.29	60.0
c5 continuation	2022	19	-981.9	52.6
c5 continuation	2023	33	2388.55	51.5
c5 continuation	2024	6	770.27	66.7
c5 continuation	2025	1	539.85	100.0
c6 reversal	2018	6	1165.57	66.7
c6 reversal	2019	14	3478.9	92.9
c6 reversal	2020	3	254.51	66.7
c6 reversal	2021	5	2020.82	80.0
c6 reversal	2022	17	4502.5	82.4
c6 reversal	2023	60	7982.41	71.7
c6 reversal	2024	282	27343.79	57.8
c6 reversal	2025	369	73119.34	66.4
c6 reversal	2026	147	10014.38	56.5
p1 squeeze	2019	2	87.08	50.0
p1 squeeze	2021	2	-173.12	0.0
p1 squeeze	2022	2	377.31	50.0
p1 squeeze	2023	24	5386.66	50.0
p1 squeeze	2024	133	50182.84	68.4
p1 squeeze	2025	159	54093.24	61.6
p1 squeeze	2026	81	32645.39	58.0
p2 trend	2019	8	-52.0	50.0
p2 trend	2022	3	155.29	33.3
p2 trend	2023	36	9882.85	69.4
p2 trend	2024	142	36720.07	58.5
p2 trend	2025	49	14340.97	59.2
p2 trend	2026	17	4107.85	52.9
p3 bounce	2019	3	470.89	66.7
p3 bounce	2022	3	961.28	66.7
p3 bounce	2023	3	40.55	33.3
p3 bounce	2024	36	3503.11	52.8
p3 bounce	2025	8	5627.72	75.0
p3 bounce	2026	6	1777.65	33.3
p5 continuation	2018	4	-566.43	25.0
p5 continuation	2019	6	-569.43	16.7
p5 continuation	2020	6	1462.2	66.7
p5 continuation	2022	1	654.03	100.0
p5 continuation	2023	26	6360.0	46.2
p5 continuation	2024	14	536.8	35.7
p6 reversal	2018	5	557.97	40.0
p6 reversal	2019	16	2748.28	68.8
p6 reversal	2020	4	974.8	50.0
p6 reversal	2021	1	694.06	100.0
p6 reversal	2022	15	5777.19	80.0
p6 reversal	2023	62	15608.52	58.1
p6 reversal	2024	357	128470.09	64.7
p6 reversal	2025	464	179383.33	65.5
p6 reversal	2026	129	48350.13	62.8
