strategy	ticker	trades	pnl
c1 squeeze	CRM	12	10963.94
c1 squeeze	ADBE	8	8302.19
c1 squeeze	AAPL	10	7801.59
c1 squeeze	AMAT	8	6978.08
c1 squeeze	CVX	12	5211.75
c1 squeeze	CEG	3	4528.27
c1 squeeze	DIS	10	3590.81
c1 squeeze	CRWD	2	3027.42
c1 squeeze	GEV	2	2534.74
c1 squeeze	GM	12	2469.79
c1 squeeze	ARM	5	2345.21
c1 squeeze	FSLR	2	2287.58
c1 squeeze	CMG	21	2183.02
c1 squeeze	DELL	5	1908.37
c1 squeeze	C	9	1881.87
c1 squeeze	IBM	12	1873.02
c1 squeeze	GLW	15	1628.98
c1 squeeze	DDOG	14	1518.25
c1 squeeze	CMCSA	15	1149.08
c1 squeeze	CVS	7	1104.63
c1 squeeze	ANET	4	1026.35
c1 squeeze	BABA	5	702.26
c1 squeeze	DIA	2	620.56
c1 squeeze	ENPH	4	601.22
c1 squeeze	LRCX	3	577.44
c1 squeeze	HAL	14	444.58
c1 squeeze	DAL	5	406.15
c1 squeeze	AES	10	371.09
c1 squeeze	ALB	12	366.1
c1 squeeze	APA	7	328.0
c1 squeeze	DOW	6	297.77
c1 squeeze	CCL	11	248.61
c1 squeeze	KHC	8	247.51
c1 squeeze	HPE	10	150.15
c1 squeeze	INTC	1	127.22
c1 squeeze	AMDL	1	85.45
c1 squeeze	JD	3	6.95
c1 squeeze	F	17	-90.8
c1 squeeze	AAL	5	-206.83
c1 squeeze	FCX	5	-209.94
c1 squeeze	AMD	4	-230.55
c1 squeeze	BAC	10	-290.82
c1 squeeze	KO	11	-313.94
c1 squeeze	AFRM	1	-353.4
c1 squeeze	CVNA	1	-355.18
c1 squeeze	BMY	14	-489.35
c1 squeeze	DVN	8	-541.22
c1 squeeze	ARKK	6	-947.59
c1 squeeze	AMZN	11	-1118.3
c1 squeeze	IWM	8	-1873.94
c1 squeeze	GOOGL	7	-1997.89
c1 squeeze	GOOG	8	-2913.92
c1 squeeze	BA	9	-3023.44
c1 squeeze	LLY	5	-3555.95
c1 squeeze	AVGO	3	-3694.0
c1 squeeze	JPM	8	-3984.75
c1 squeeze	GE	13	-5194.36
c1 squeeze	LULU	10	-7284.44
c2 trend	AAPL	28	6731.08
c2 trend	ADBE	9	6715.19
c2 trend	CVX	12	4767.8
c2 trend	CEG	8	4187.03
c2 trend	COIN	3	3635.8
c2 trend	JPM	12	3089.46
