strategy	pnl_bucket	trades	bucket_pnl
c1 squeeze	a_lt_-500	78	-79400.86
c1 squeeze	b_-500_-100	81	-20268.43
c1 squeeze	c_-100_0	25	-1475.13
c1 squeeze	d_0_100	34	2105.71
c1 squeeze	e_100_500	124	30679.35
c1 squeeze	f_gt_500	112	109584.75
c2 trend	a_lt_-500	70	-71401.73
c2 trend	b_-500_-100	63	-16225.37
c2 trend	c_-100_0	30	-1787.67
c2 trend	d_0_100	23	1090.65
c2 trend	e_100_500	83	21317.93
c2 trend	f_gt_500	89	93322.04
c3 bounce	a_lt_-500	18	-17215.01
c3 bounce	b_-500_-100	14	-3014.29
c3 bounce	c_-100_0	7	-371.56
c3 bounce	d_0_100	2	111.26
c3 bounce	e_100_500	28	7216.84
c3 bounce	f_gt_500	11	12293.22
c5 continuation	a_lt_-500	13	-11226.34
c5 continuation	b_-500_-100	16	-3828.57
c5 continuation	c_-100_0	5	-397.31
c5 continuation	d_0_100	6	356.23
c5 continuation	e_100_500	21	5331.49
c5 continuation	f_gt_500	12	12404.61
c6 reversal	a_lt_-500	149	-155277.31
c6 reversal	b_-500_-100	133	-32217.83
c6 reversal	c_-100_0	50	-3076.96
c6 reversal	d_0_100	69	4335.69
c6 reversal	e_100_500	255	62895.59
c6 reversal	f_gt_500	247	253223.04
p1 squeeze	a_lt_-500	54	-41023.34
p1 squeeze	b_-500_-100	64	-14732.35
p1 squeeze	c_-100_0	35	-2125.0
p1 squeeze	d_0_100	17	1190.45
p1 squeeze	e_100_500	110	30414.61
p1 squeeze	f_gt_500	123	168875.03
p2 trend	a_lt_-500	34	-25232.67
p2 trend	b_-500_-100	51	-12584.43
p2 trend	c_-100_0	19	-1012.49
p2 trend	d_0_100	16	825.85
p2 trend	e_100_500	62	18227.93
p2 trend	f_gt_500	73	84930.84
p3 bounce	a_lt_-500	11	-8656.93
p3 bounce	b_-500_-100	9	-2555.89
p3 bounce	c_-100_0	7	-415.8
p3 bounce	d_0_100	5	348.75
p3 bounce	e_100_500	12	3162.4
p3 bounce	f_gt_500	15	20498.67
p5 continuation	a_lt_-500	5	-4019.79
p5 continuation	b_-500_-100	22	-5219.77
p5 continuation	c_-100_0	6	-319.21
p5 continuation	d_0_100	2	167.14
p5 continuation	e_100_500	7	1795.96
p5 continuation	f_gt_500	15	15472.84
p6 reversal	a_lt_-500	127	-94922.34
p6 reversal	b_-500_-100	161	-38266.33
p6 reversal	c_-100_0	85	-4403.5
p6 reversal	d_0_100	64	3808.51
p6 reversal	e_100_500	255	69810.07
p6 reversal	f_gt_500	361	446537.96
