Ticker,Strategy,Direction,Qty,EntryPrice,EntryTime,ExitPrice,ExitTime,ExitReason,GrossPnl,Commission,Slippage,NetPnl,MaxDD,MaxRunup
GOOGL,p1squeezeput,PUT,1,288.00,2026-03-26 14:45:00,282.27,2026-03-26 18:45:00,TP,573.28,0.65,1.41,431.50,0.00,544.28
GOOGL,p1squeezeput,PUT,1,287.50,2026-03-26 14:30:00,281.78,2026-03-26 19:00:00,TP,572.03,0.65,1.41,430.49,30.97,555.03
GOOGL,p1squeezeput,PUT,1,286.13,2026-03-26 17:00:00,280.44,2026-03-26 19:00:00,TP,569.35,0.65,1.40,428.48,0.00,418.35
NVDA,p1squeezeput,PUT,1,172.82,2026-03-26 20:00:00,169.38,2026-03-27 14:30:00,TP,343.98,0.65,0.85,258.64,0.00,167.98
NVDA,p1squeezeput,PUT,1,172.99,2026-03-26 20:15:00,169.55,2026-03-27 14:30:00,TP,344.06,0.65,0.85,258.64,0.00,185.07
NVDA,p1squeezeput,PUT,1,172.69,2026-03-26 20:30:00,169.25,2026-03-27 14:30:00,TP,343.92,0.65,0.85,258.64,0.00,154.92
AMZN,p1squeezeput,PUT,1,204.20,2026-03-27 14:30:00,200.13,2026-03-27 19:30:00,TP,406.59,0.65,1.00,305.87,0.00,403.59
SPY,p1squeezeput,PUT,1,642.25,2026-03-27 14:45:00,629.46,2026-03-30 21:15:00,TP,1278.52,0.65,3.15,963.14,0.00,1262.52
AMZN,p1squeezeput,PUT,1,202.79,2026-03-27 14:45:00,206.04,2026-03-31 15:30:00,SL,-325.11,0.65,1.03,-428.78,101.11,364.89
AMZN,p1squeezeput,PUT,10,201.18,2026-03-27 19:30:00,203.92,2026-03-31 15:30:00,SL,-2739.10,6.50,1.02,-3765.20,2619.10,2040.90
JPM,p4openingput,PUT,1,288.84,2026-03-31 15:30:00,293.67,2026-03-31 18:30:00,SL,-483.30,0.65,1.47,-630.79,254.30,152.70
NVDA,c4openingcall,CALL,1,172.90,2026-04-02 15:30:00,174.62,2026-04-02 16:15:00,TP,171.98,0.65,0.87,84.02,107.02,170.98
JNJ,c1squeezecall,CALL,1,247.86,2026-04-01 15:30:00,242.83,2026-04-02 21:15:00,SL,-503.31,0.65,1.21,-625.38,495.31,0.00
JNJ,c1squeezecall,CALL,1,246.89,2026-04-01 15:45:00,241.86,2026-04-06 15:30:00,SL,-502.83,0.65,1.21,-624.41,501.83,32.17
AAPL,c1squeezecall,CALL,1,261.26,2026-04-06 15:45:00,254.90,2026-04-07 15:30:00,SL,-635.98,0.65,1.27,-764.08,340.98,90.02
MSFT,c2trendcall,CALL,1,373.06,2026-04-02 21:00:00,376.77,2026-04-08 15:30:00,TP,371.40,0.65,1.88,182.36,649.60,67.40
NVDA,c3bouncecall,CALL,1,176.54,2026-04-07 21:00:00,178.29,2026-04-08 15:30:00,TP,175.17,0.65,0.89,85.37,93.83,169.17
NVDA,c6reversalcall,CALL,1,176.54,2026-04-07 21:00:00,178.29,2026-04-08 15:30:00,TP,175.17,0.65,0.89,85.37,93.83,169.17
JPM,c2trendcall,CALL,1,296.13,2026-04-02 21:45:00,299.08,2026-04-08 15:30:00,TP,294.67,0.65,1.50,144.48,344.33,204.67
AMZN,p4openingput,PUT,1,221.83,2026-04-08 15:30:00,227.09,2026-04-09 16:45:00,SL,-525.64,0.65,1.14,-639.83,462.64,221.36
AMZN,c1squeezecall,CALL,1,229.44,2026-04-09 16:45:00,231.72,2026-04-09 17:30:00,TP,227.85,0.65,1.16,111.34,156.15,36.85
AMZN,c1squeezecall,CALL,1,232.72,2026-04-09 17:30:00,235.03,2026-04-10 15:30:00,TP,231.22,0.65,1.18,113.05,223.78,108.22
NVDA,p4openingput,PUT,1,183.94,2026-04-08 15:30:00,187.78,2026-04-10 15:45:00,SL,-384.49,0.65,0.94,-479.03,256.49,363.51
NVDA,p5continuationput,PUT,1,183.53,2026-04-08 15:45:00,186.81,2026-04-10 15:45:00,SL,-327.69,0.65,0.93,-421.75,296.69,323.31
NVDA,c1squeezecall,CALL,1,188.00,2026-04-10 15:45:00,189.33,2026-04-10 17:15:00,EOS,133.47,0.65,0.95,38.15,168.53,137.47
NVDA,c1squeezecall,CALL,1,188.19,2026-04-10 16:00:00,189.33,2026-04-10 17:15:00,EOS,114.38,0.65,0.95,19.06,107.62,118.38
AMZN,p5continuationput,PUT,1,239.41,2026-04-10 15:45:00,239.16,2026-04-10 17:00:00,EOS,25.11,0.65,1.20,-95.12,32.89,269.11
