
============================================================
ANALISIS: NVDA | C1_SQUEEZE_CALL | ENTRADA: 130.63 | TP: 132.13 | SL: 126.13
Hora  |  Open  |  High  |  Low   |  Close |  Vol
16:00 | 121.38 | 121.47 | 120.94 | 121.43 | 7472095 
16:15 | 121.43 | 121.70 | 120.47 | 120.85 | 7925280 
16:30 | 120.86 | 120.96 | 120.28 | 120.88 | 6478454 
16:45 | 120.89 | 120.98 | 120.48 | 120.88 | 4808480 
17:00 | 120.88 | 121.28 | 120.71 | 121.28 | 4774570 
17:15 | 121.28 | 121.85 | 121.24 | 121.66 | 5655337 
17:30 | 121.66 | 121.88 | 121.52 | 121.65 | 3855766 
17:45 | 121.65 | 121.84 | 121.44 | 121.73 | 3340798 
18:00 | 121.73 | 122.48 | 121.65 | 122.38 | 6388312 
18:15 | 122.39 | 122.72 | 122.32 | 122.37 | 5319178 
18:30 | 122.38 | 122.60 | 122.33 | 122.44 | 2983103 
18:45 | 122.44 | 122.74 | 122.41 | 122.56 | 3805327 
19:00 | 122.57 | 122.93 | 122.33 | 122.67 | 5668517 
19:15 | 122.68 | 122.82 | 122.48 | 122.67 | 3088117 
19:30 | 122.67 | 122.75 | 122.47 | 122.54 | 2742351 
19:45 | 122.55 | 122.88 | 122.54 | 122.82 | 3462358 
20:00 | 122.82 | 122.94 | 122.54 | 122.65 | 3306740 
20:15 | 122.66 | 122.79 | 122.50 | 122.73 | 3078622 
20:30 | 122.73 | 122.85 | 122.57 | 122.77 | 3312341 
20:45 | 122.77 | 122.91 | 122.56 | 122.59 | 3871454 
21:00 | 122.59 | 123.00 | 122.48 | 122.87 | 5725866 
21:15 | 122.87 | 122.93 | 122.47 | 122.59 | 4520257 
21:30 | 122.58 | 122.59 | 122.07 | 122.31 | 6067556 
21:45 | 122.32 | 123.00 | 122.18 | 123.00 | 15150150 
15:30 | 124.98 | 126.57 | 124.47 | 126.52 | 22417763 
15:45 | 126.51 | 127.89 | 126.37 | 127.73 | 14998208 
16:00 | 127.73 | 128.88 | 127.47 | 128.78 | 17693826 [ENTRADA]
16:15 | 128.78 | 129.50 | 128.65 | 129.22 | 15984795 
16:30 | 129.22 | 129.69 | 128.92 | 129.35 | 11843157 
16:45 | 129.35 | 130.83 | 129.31 | 130.63 | 16300868 
17:00 | 130.63 | 130.64 | 129.55 | 129.59 | 12679730 
17:15 | 129.59 | 130.25 | 129.59 | 129.84 | 8731754 
17:30 | 129.84 | 130.35 | 129.45 | 129.84 | 8768769 
17:45 | 129.84 | 130.03 | 129.75 | 129.91 | 5651706 
18:00 | 129.92 | 129.95 | 129.31 | 129.90 | 6395160 
18:15 | 129.90 | 130.48 | 129.70 | 130.46 | 7044981 
18:30 | 130.45 | 130.79 | 130.09 | 130.74 | 6082641 
18:45 | 130.74 | 131.00 | 130.57 | 130.64 | 5759934 
19:00 | 130.63 | 130.87 | 130.45 | 130.77 | 3990851 
19:15 | 130.78 | 130.97 | 130.70 | 130.84 | 3620847 
19:30 | 130.84 | 131.22 | 130.74 | 130.82 | 5875485 
19:45 | 130.83 | 131.07 | 130.22 | 130.24 | 5328337 
20:00 | 130.25 | 130.35 | 129.87 | 130.00 | 6603604 
20:15 | 130.00 | 130.50 | 129.86 | 130.44 | 5007354 
20:30 | 130.45 | 130.47 | 129.85 | 129.92 | 4925070 
20:45 | 129.93 | 130.49 | 129.72 | 130.47 | 5432141 
21:00 | 130.47 | 130.68 | 130.11 | 130.15 | 5403247 
21:15 | 130.15 | 130.33 | 129.90 | 130.22 | 5115406 
21:30 | 130.22 | 130.42 | 130.04 | 130.30 | 5921902 
21:45 | 130.30 | 130.49 | 129.82 | 129.84 | 12480577 
15:30 | 133.21 | 134.86 | 132.75 | 133.64 | 28072544 
