
============================================================
ANALISIS: AMD | C2TrendCallStrategy | ENTRADA: 205.23 | TP: 206.73 | SL: 202.23
Hora  |  Open  |  High  |  Low   |  Close |  Vol
20:00 | 199.71 | 200.88 | 199.63 | 199.92 | 610127 
20:15 | 199.95 | 200.02 | 199.10 | 199.46 | 545206 
20:30 | 199.44 | 199.98 | 199.26 | 199.50 | 523257 
20:45 | 199.53 | 199.90 | 199.26 | 199.44 | 1151219 
14:30 | 195.09 | 195.32 | 192.83 | 194.76 | 2292224 
14:45 | 194.64 | 196.52 | 194.03 | 196.48 | 1501077 
15:00 | 196.42 | 198.32 | 196.13 | 197.63 | 1351756 
15:15 | 197.62 | 198.42 | 196.91 | 197.22 | 974839 
15:30 | 197.15 | 199.04 | 197.12 | 197.90 | 764344 
15:45 | 197.96 | 199.10 | 197.80 | 198.74 | 633237 
16:00 | 198.72 | 200.35 | 198.67 | 199.97 | 920504 
16:15 | 199.97 | 200.40 | 198.88 | 199.07 | 651267 
16:30 | 199.01 | 199.06 | 198.21 | 198.66 | 520970 
16:45 | 198.67 | 199.87 | 198.51 | 199.83 | 530353 
17:00 | 199.79 | 201.15 | 199.66 | 200.12 | 833700 
17:15 | 200.09 | 200.99 | 199.83 | 200.90 | 559461 
17:30 | 200.92 | 201.44 | 200.38 | 201.05 | 680616 
17:45 | 201.07 | 201.16 | 200.03 | 200.48 | 455739 
18:00 | 200.50 | 200.67 | 199.24 | 199.42 | 422216 
18:15 | 199.48 | 200.31 | 199.28 | 200.26 | 434567 
18:30 | 200.26 | 200.65 | 200.03 | 200.38 | 408395 
18:45 | 200.41 | 201.38 | 200.33 | 201.21 | 529654 
19:00 | 201.21 | 202.93 | 201.17 | 202.80 | 930113 
19:15 | 202.79 | 203.10 | 202.35 | 202.89 | 593737 
19:30 | 202.94 | 202.99 | 201.76 | 201.86 | 521256 
19:45 | 201.78 | 203.32 | 201.62 | 203.14 | 578558 
20:00 | 203.17 | 205.62 | 203.07 | 205.23 | 1510749 [ENTRADA]
20:15 | 205.20 | 205.40 | 204.13 | 205.03 | 902827 
20:30 | 205.05 | 205.57 | 204.11 | 205.18 | 1108902 
20:45 | 205.20 | 205.88 | 204.90 | 205.23 | 1826121 
14:30 | 204.89 | 206.30 | 202.77 | 205.06 | 2633395 
14:45 | 205.12 | 205.44 | 201.98 | 202.03 | 859929 
15:00 | 202.05 | 202.45 | 200.75 | 200.95 | 1032905 
15:15 | 200.92 | 201.60 | 199.67 | 199.80 | 959498 
15:30 | 199.82 | 201.26 | 199.80 | 201.25 | 944273 
15:45 | 201.17 | 201.62 | 200.41 | 201.45 | 576459 
16:00 | 201.42 | 202.44 | 200.67 | 202.21 | 550850 
16:15 | 202.13 | 202.60 | 201.24 | 201.90 | 461089 
16:30 | 201.90 | 202.48 | 201.61 | 202.00 | 413141 
16:45 | 201.99 | 202.49 | 201.63 | 202.33 | 338553 
17:00 | 202.37 | 202.95 | 202.02 | 202.24 | 371673 
17:15 | 202.31 | 202.88 | 201.92 | 202.01 | 326943 
17:30 | 202.06 | 202.06 | 201.15 | 201.39 | 306992 
17:45 | 201.31 | 201.60 | 200.91 | 201.22 | 242838 
18:00 | 201.27 | 201.71 | 200.60 | 200.82 | 410608 
18:15 | 200.82 | 201.02 | 200.21 | 200.35 | 299500 
18:30 | 200.35 | 200.50 | 199.35 | 199.49 | 504708 
18:45 | 199.48 | 199.99 | 198.92 | 199.86 | 473976 
19:00 | 199.87 | 200.08 | 199.50 | 200.00 | 301489 
19:15 | 200.02 | 200.13 | 198.94 | 199.57 | 467808 
19:30 | 199.60 | 199.67 | 198.58 | 198.96 | 459783 
19:45 | 198.89 | 199.10 | 198.30 | 198.74 | 557498 
20:00 | 198.74 | 199.22 | 198.26 | 198.94 | 481036 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: AMD | C2TrendCallStrategy | ENTRADA: 202.03 | TP: 203.53 | SL: 199.03
Hora  |  Open  |  High  |  Low   |  Close |  Vol
14:30 | 195.09 | 195.32 | 192.83 | 194.76 | 2292224 
14:45 | 194.64 | 196.52 | 194.03 | 196.48 | 1501077 
15:00 | 196.42 | 198.32 | 196.13 | 197.63 | 1351756 
15:15 | 197.62 | 198.42 | 196.91 | 197.22 | 974839 
15:30 | 197.15 | 199.04 | 197.12 | 197.90 | 764344 
15:45 | 197.96 | 199.10 | 197.80 | 198.74 | 633237 
16:00 | 198.72 | 200.35 | 198.67 | 199.97 | 920504 
16:15 | 199.97 | 200.40 | 198.88 | 199.07 | 651267 
16:30 | 199.01 | 199.06 | 198.21 | 198.66 | 520970 
16:45 | 198.67 | 199.87 | 198.51 | 199.83 | 530353 
17:00 | 199.79 | 201.15 | 199.66 | 200.12 | 833700 
17:15 | 200.09 | 200.99 | 199.83 | 200.90 | 559461 
17:30 | 200.92 | 201.44 | 200.38 | 201.05 | 680616 
17:45 | 201.07 | 201.16 | 200.03 | 200.48 | 455739 
18:00 | 200.50 | 200.67 | 199.24 | 199.42 | 422216 
18:15 | 199.48 | 200.31 | 199.28 | 200.26 | 434567 
18:30 | 200.26 | 200.65 | 200.03 | 200.38 | 408395 
18:45 | 200.41 | 201.38 | 200.33 | 201.21 | 529654 
19:00 | 201.21 | 202.93 | 201.17 | 202.80 | 930113 
19:15 | 202.79 | 203.10 | 202.35 | 202.89 | 593737 
19:30 | 202.94 | 202.99 | 201.76 | 201.86 | 521256 
19:45 | 201.78 | 203.32 | 201.62 | 203.14 | 578558 
20:00 | 203.17 | 205.62 | 203.07 | 205.23 | 1510749 
20:15 | 205.20 | 205.40 | 204.13 | 205.03 | 902827 
20:30 | 205.05 | 205.57 | 204.11 | 205.18 | 1108902 
20:45 | 205.20 | 205.88 | 204.90 | 205.23 | 1826121 
14:30 | 204.89 | 206.30 | 202.77 | 205.06 | 2633395 [ENTRADA]
14:45 | 205.12 | 205.44 | 201.98 | 202.03 | 859929 
15:00 | 202.05 | 202.45 | 200.75 | 200.95 | 1032905 
15:15 | 200.92 | 201.60 | 199.67 | 199.80 | 959498 
15:30 | 199.82 | 201.26 | 199.80 | 201.25 | 944273 
15:45 | 201.17 | 201.62 | 200.41 | 201.45 | 576459 
16:00 | 201.42 | 202.44 | 200.67 | 202.21 | 550850 
16:15 | 202.13 | 202.60 | 201.24 | 201.90 | 461089 
16:30 | 201.90 | 202.48 | 201.61 | 202.00 | 413141 
