
============================================================
ANALISIS: TSLA | C2_TREND_CALL | ENTRADA: 301.03 | TP: 302.53 | SL: 296.53
Hora  |  Open  |  High  |  Low   |  Close |  Vol

============================================================
ANALISIS: AMD | C2_TREND_CALL | ENTRADA: 102.95 | TP: 104.45 | SL: 99.95
Hora  |  Open  |  High  |  Low   |  Close |  Vol
19:00 | 287.88 | 287.95 | 286.12 | 286.40 | 1654123 
19:00 | 103.98 | 104.00 | 103.41 | 103.52 | 689648 
19:15 | 286.40 | 287.45 | 286.33 | 287.07 | 1330701 
19:30 | 287.11 | 287.64 | 286.25 | 287.47 | 1233564 
19:45 | 287.44 | 288.37 | 287.24 | 287.71 | 1742962 
20:00 | 287.72 | 288.52 | 286.96 | 288.30 | 1605470 
20:15 | 288.30 | 288.56 | 287.34 | 287.52 | 1362315 
19:15 | 103.52 | 103.60 | 103.30 | 103.56 | 724634 
19:30 | 103.53 | 103.68 | 102.93 | 102.98 | 705757 
19:45 | 102.99 | 103.35 | 102.70 | 102.71 | 787210 

============================================================
20:00 | 102.72 | 102.93 | 102.65 | 102.82 | 714497 
20:15 | 102.83 | 103.03 | 102.66 | 102.71 | 711397 
20:30 | 287.57 | 288.50 | 287.52 | 288.39 | 1078746 
20:45 | 288.38 | 289.08 | 287.60 | 287.91 | 1707106 
21:00 | 287.90 | 288.07 | 287.10 | 287.32 | 1340786 
21:15 | 287.32 | 289.79 | 286.83 | 289.02 | 2942860 
21:30 | 289.02 | 289.46 | 287.63 | 287.90 | 1931718 
21:45 | 287.94 | 288.10 | 284.61 | 284.89 | 3745546 
15:30 | 290.28 | 299.63 | 290.00 | 298.00 | 11953466 
15:45 | 297.99 | 303.70 | 297.48 | 303.20 | 8794578 
16:00 | 303.17 | 307.04 | 302.02 | 304.78 | 8969943 
ANALISIS: NVDA | C2_TREND_CALL | ENTRADA: 121.73 | TP: 123.23 | SL: 117.23
Hora  |  Open  |  High  |  Low   |  Close |  Vol
17:00 | 116.27 | 116.73 | 116.01 | 116.67 | 5294080 
17:15 | 116.66 | 116.77 | 116.29 | 116.38 | 3255906 
17:30 | 116.38 | 116.64 | 116.12 | 116.36 | 3329307 
17:45 | 116.36 | 116.77 | 116.35 | 116.72 | 2703127 
20:30 | 102.72 | 103.17 | 102.65 | 103.07 | 799516 
16:15 | 304.75 | 306.18 | 301.08 | 302.18 | 6332040 
16:30 | 302.21 | 304.26 | 298.74 | 300.77 | 7034661 
16:45 | 300.74 | 301.71 | 298.45 | 300.82 | 4756521 
17:00 | 300.87 | 302.83 | 300.33 | 301.95 | 3477277 
17:15 | 301.89 | 303.28 | 297.23 | 298.66 | 4580222 
17:30 | 298.67 | 299.63 | 295.00 | 299.55 | 3596152 
17:45 | 299.59 | 299.98 | 298.00 | 299.01 | 1868398 
18:00 | 299.00 | 299.08 | 296.41 | 297.14 | 2620045 
18:15 | 297.14 | 297.92 | 295.11 | 296.63 | 2101759 
18:30 | 296.73 | 298.24 | 296.34 | 297.94 | 1983428 
18:45 | 297.94 | 298.60 | 296.90 | 297.01 | 1719599 
19:00 | 297.03 | 298.42 | 296.90 | 297.30 | 1522679 [ENTRADA]
19:15 | 297.30 | 298.40 | 296.90 | 297.90 | 1488944 
18:00 | 116.72 | 116.76 | 115.98 | 116.26 | 2993916 
18:15 | 116.27 | 116.48 | 116.07 | 116.29 | 2314269 
18:30 | 116.28 | 116.66 | 116.22 | 116.48 | 1844234 
18:45 | 116.48 | 116.50 | 116.16 | 116.34 | 1979263 
19:00 | 116.35 | 116.58 | 116.21 | 116.30 | 2076797 
19:15 | 116.30 | 116.67 | 116.11 | 116.43 | 2426411 
19:30 | 116.43 | 116.58 | 116.23 | 116.53 | 1938955 
19:45 | 116.52 | 116.81 | 116.33 | 116.77 | 2308275 
20:00 | 116.76 | 116.92 | 116.66 | 116.75 | 2138546 
20:15 | 116.75 | 116.84 | 116.51 | 116.58 | 1694783 
20:30 | 116.58 | 116.73 | 116.50 | 116.61 | 1616577 
20:45 | 116.61 | 116.71 | 116.54 | 116.61 | 1401671 
21:00 | 116.61 | 116.79 | 116.47 | 116.62 | 2343776 
21:15 | 116.63 | 116.80 | 116.51 | 116.73 | 2391867 
20:45 | 103.07 | 103.10 | 102.81 | 102.81 | 455992 
21:00 | 102.81 | 103.17 | 102.75 | 102.93 | 595721 
21:15 | 102.94 | 103.50 | 102.82 | 103.43 | 935639 
21:30 | 103.44 | 103.46 | 102.56 | 102.64 | 983899 
21:45 | 102.63 | 102.68 | 101.56 | 101.69 | 2729309 
15:30 | 102.59 | 103.54 | 101.69 | 101.77 | 3449012 
15:45 | 101.77 | 103.00 | 101.62 | 102.98 | 2100158 
16:00 | 102.96 | 103.25 | 102.69 | 102.92 | 1691025 
19:30 | 297.96 | 299.76 | 297.51 | 299.70 | 1987428 
19:45 | 299.75 | 301.06 | 299.50 | 301.03 | 2973526 
20:00 | 300.99 | 301.11 | 299.27 | 300.08 | 1924818 
20:15 | 300.10 | 300.25 | 297.92 | 298.46 | 1996311 
21:30 | 116.73 | 116.76 | 116.43 | 116.73 | 3288517 
21:45 | 116.73 | 116.87 | 116.50 | 116.61 | 6662552 
15:30 | 121.97 | 122.82 | 120.68 | 121.30 | 21984241 
15:45 | 121.30 | 122.08 | 120.88 | 121.38 | 9827710 
16:00 | 121.38 | 121.47 | 120.94 | 121.43 | 7472095 
16:15 | 121.43 | 121.70 | 120.47 | 120.85 | 7925280 
16:30 | 120.86 | 120.96 | 120.28 | 120.88 | 6478454 
16:45 | 120.89 | 120.98 | 120.48 | 120.88 | 4808480 
17:00 | 120.88 | 121.28 | 120.71 | 121.28 | 4774570 [ENTRADA]
17:15 | 121.28 | 121.85 | 121.24 | 121.66 | 5655337 
17:30 | 121.66 | 121.88 | 121.52 | 121.65 | 3855766 
17:45 | 121.65 | 121.84 | 121.44 | 121.73 | 3340798 
18:00 | 121.73 | 122.48 | 121.65 | 122.38 | 6388312 
18:15 | 122.39 | 122.72 | 122.32 | 122.37 | 5319178 
18:30 | 122.38 | 122.60 | 122.33 | 122.44 | 2983103 
18:45 | 122.44 | 122.74 | 122.41 | 122.56 | 3805327 
19:00 | 122.57 | 122.93 | 122.33 | 122.67 | 5668517 
19:15 | 122.68 | 122.82 | 122.48 | 122.67 | 3088117 
16:15 | 102.93 | 102.93 | 101.60 | 101.87 | 1408467 
16:30 | 101.88 | 102.28 | 101.62 | 101.96 | 1292633 
16:45 | 101.96 | 102.33 | 101.86 | 102.31 | 827533 
17:00 | 102.30 | 102.86 | 102.15 | 102.80 | 957448 
17:15 | 102.80 | 102.85 | 102.37 | 102.47 | 670805 
17:30 | 102.45 | 102.54 | 102.11 | 102.14 | 649450 
17:45 | 102.15 | 102.42 | 102.00 | 102.33 | 599207 
18:00 | 102.32 | 102.42 | 101.73 | 102.05 | 629686 
20:30 | 298.45 | 298.97 | 296.51 | 296.62 | 2042585 
20:45 | 296.63 | 297.60 | 296.52 | 297.13 | 1648963 
21:00 | 297.13 | 298.76 | 296.74 | 298.56 | 2179116 
21:15 | 298.56 | 298.87 | 297.66 | 297.81 | 1915756 
21:30 | 297.80 | 299.47 | 296.85 | 299.46 | 2704060 
21:45 | 299.47 | 299.62 | 297.88 | 298.10 | 3835908 
15:30 | 321.99 | 322.21 | 311.79 | 313.05 | 10835952 
15:45 | 313.09 | 317.46 | 311.50 | 315.31 | 6263552 
16:00 | 315.29 | 318.18 | 314.55 | 317.05 | 4801837 
16:15 | 317.00 | 319.64 | 314.80 | 315.18 | 5356777 
16:30 | 315.23 | 318.86 | 313.83 | 318.66 | 4651473 
16:45 | 318.68 | 319.49 | 317.13 | 317.50 | 3167331 
17:00 | 317.50 | 318.60 | 316.87 | 318.49 | 2330541 
19:30 | 122.67 | 122.75 | 122.47 | 122.54 | 2742351 
19:45 | 122.55 | 122.88 | 122.54 | 122.82 | 3462358 
20:00 | 122.82 | 122.94 | 122.54 | 122.65 | 3306740 
18:15 | 102.06 | 102.31 | 101.96 | 102.16 | 479231 
17:15 | 318.48 | 320.33 | 317.79 | 319.78 | 2814733 
20:15 | 122.66 | 122.79 | 122.50 | 122.73 | 3078622 
18:30 | 102.15 | 102.73 | 102.11 | 102.50 | 611721 
