
============================================================
ANALISIS: MSFT | p1_squeeze_put | ENTRADA: 384.24 | TP: 365.03 | SL: 395.77
Hora  |  Open  |  High  |  Low   |  Close |  Vol
16:00 | 390.01 | 391.22 | 389.76 | 391.10 | 449058 
16:15 | 391.10 | 391.15 | 388.95 | 389.31 | 465816 
16:30 | 389.31 | 389.62 | 388.83 | 388.86 | 381329 
16:45 | 388.87 | 389.67 | 388.70 | 389.61 | 372921 
17:00 | 389.59 | 390.12 | 389.20 | 389.31 | 498803 
17:15 | 389.34 | 389.52 | 388.88 | 388.95 | 339674 
17:30 | 389.00 | 389.22 | 388.51 | 389.04 | 378153 
17:45 | 389.06 | 389.07 | 388.23 | 388.44 | 368466 
18:00 | 388.46 | 388.59 | 387.51 | 387.85 | 371104 
18:15 | 387.87 | 388.27 | 387.61 | 387.93 | 365025 
18:30 | 387.95 | 388.33 | 387.57 | 387.61 | 366471 
18:45 | 387.60 | 388.19 | 387.50 | 387.87 | 350693 
19:00 | 387.84 | 388.47 | 387.55 | 388.22 | 461467 
19:15 | 388.22 | 388.35 | 387.63 | 387.63 | 401908 
19:30 | 387.61 | 387.97 | 387.06 | 387.84 | 469978 
19:45 | 387.86 | 388.71 | 387.30 | 388.24 | 601796 
20:00 | 388.28 | 390.37 | 388.27 | 389.54 | 841272 
20:15 | 389.47 | 390.03 | 388.09 | 388.43 | 506277 
20:30 | 388.48 | 388.88 | 387.78 | 388.67 | 556370 
20:45 | 388.67 | 389.45 | 388.06 | 388.88 | 1582654 
14:30 | 386.24 | 387.00 | 383.44 | 384.04 | 5671094 
14:45 | 384.01 | 384.64 | 382.40 | 382.80 | 1146486 
15:00 | 382.80 | 384.32 | 382.26 | 384.18 | 1082005 
15:15 | 384.17 | 385.74 | 384.03 | 385.68 | 820436 
15:30 | 385.67 | 385.87 | 384.06 | 384.22 | 808567 
15:45 | 384.19 | 385.08 | 384.05 | 384.25 | 664051 
16:00 | 384.25 | 384.91 | 383.52 | 383.96 | 665441 [ENTRADA]
16:15 | 383.95 | 384.08 | 382.63 | 383.41 | 670061 
16:30 | 383.40 | 384.49 | 383.20 | 384.38 | 564698 
16:45 | 384.37 | 384.45 | 383.69 | 384.24 | 446870 
17:00 | 384.25 | 385.35 | 384.13 | 385.13 | 602765 
17:15 | 385.13 | 385.30 | 384.57 | 384.60 | 525876 
17:30 | 384.58 | 384.68 | 383.24 | 383.55 | 597737 
17:45 | 383.50 | 384.13 | 383.13 | 383.48 | 545023 
18:00 | 383.54 | 383.77 | 382.85 | 383.47 | 425263 
18:15 | 383.47 | 383.86 | 383.16 | 383.37 | 365139 
18:30 | 383.30 | 383.57 | 382.33 | 383.02 | 449688 
18:45 | 383.08 | 383.44 | 382.95 | 383.12 | 368345 
19:00 | 383.14 | 383.55 | 382.74 | 382.79 | 554892 
19:15 | 382.78 | 383.02 | 382.03 | 382.44 | 561013 
19:30 | 382.46 | 382.51 | 381.66 | 381.85 | 623145 
19:45 | 381.84 | 381.99 | 381.40 | 381.87 | 520624 
20:00 | 381.87 | 382.10 | 381.46 | 381.59 | 576843 
20:15 | 381.57 | 382.25 | 381.32 | 382.10 | 649676 
20:30 | 382.11 | 382.37 | 380.12 | 380.83 | 969545 
20:45 | 380.82 | 381.94 | 380.45 | 381.87 | 2243023 
14:30 | 383.94 | 387.21 | 383.52 | 384.39 | 1932699 
