
============================================================
ANALISIS: NVDA | P2TrendPutStrategy | ENTRADA: 183.10 | TP: 181.60 | SL: 187.60
Hora  |  Open  |  High  |  Low   |  Close |  Vol
14:30 | 182.95 | 185.05 | 182.84 | 184.26 | 12101919 
14:45 | 184.25 | 184.72 | 184.01 | 184.52 | 5022785 
15:00 | 184.51 | 184.55 | 183.87 | 184.25 | 5025417 
15:15 | 184.25 | 184.48 | 184.06 | 184.07 | 3446111 
15:30 | 184.07 | 184.24 | 183.46 | 183.60 | 4449228 
15:45 | 183.59 | 184.10 | 183.30 | 184.10 | 4204365 
16:00 | 184.11 | 184.72 | 183.70 | 184.68 | 4341121 
16:15 | 184.67 | 184.92 | 184.42 | 184.73 | 3336729 
16:30 | 184.72 | 184.94 | 184.59 | 184.59 | 3228046 
16:45 | 184.59 | 184.85 | 184.11 | 184.11 | 3512754 
17:00 | 184.12 | 184.41 | 183.92 | 183.99 | 3193707 
17:15 | 183.99 | 184.11 | 183.63 | 183.90 | 3042536 
17:30 | 183.91 | 184.46 | 183.78 | 184.37 | 2915549 
17:45 | 184.37 | 184.55 | 184.21 | 184.44 | 2048065 
18:00 | 184.44 | 185.01 | 184.43 | 184.87 | 3838500 
18:15 | 184.86 | 185.06 | 184.66 | 184.76 | 2904834 
18:30 | 184.77 | 184.91 | 184.31 | 184.33 | 2937027 
18:45 | 184.34 | 184.60 | 184.27 | 184.49 | 2756541 
19:00 | 184.49 | 185.37 | 184.46 | 185.24 | 4372344 
19:15 | 185.25 | 185.53 | 184.82 | 184.94 | 5061546 
19:30 | 184.94 | 185.05 | 184.34 | 184.45 | 4439459 
19:45 | 184.45 | 184.47 | 183.77 | 183.83 | 4750476 
20:00 | 183.84 | 188.88 | 183.41 | 185.51 | 18540234 
20:15 | 185.51 | 185.98 | 181.68 | 181.83 | 19715531 
20:30 | 181.85 | 183.62 | 181.41 | 183.55 | 12217379 
20:45 | 183.55 | 183.66 | 182.79 | 183.13 | 9571417 
14:30 | 185.07 | 185.40 | 183.26 | 184.05 | 12512358 [ENTRADA]
14:45 | 184.06 | 184.28 | 182.96 | 183.10 | 7925026 
15:00 | 183.10 | 183.24 | 181.90 | 182.37 | 8888781 
