
============================================================
ANALISIS: MSFT | P2_TREND_PUT | ENTRADA: 437.75 | TP: 436.25 | SL: 440.75
Hora  |  Open  |  High  |  Low   |  Close |  Vol
17:00 | 436.94 | 438.15 | 436.16 | 438.09 | 169044 
17:15 | 438.12 | 440.97 | 438.02 | 439.89 | 517517 
17:30 | 439.96 | 443.37 | 439.46 | 443.20 | 670429 
17:45 | 443.25 | 443.49 | 441.65 | 441.79 | 399911 
18:00 | 441.74 | 442.88 | 441.70 | 442.35 | 286743 
18:15 | 442.35 | 442.79 | 441.92 | 441.99 | 354614 
18:30 | 442.06 | 443.45 | 441.81 | 443.31 | 237722 
18:45 | 443.24 | 443.27 | 442.73 | 443.06 | 197271 
19:00 | 443.07 | 443.21 | 442.51 | 442.91 | 203598 
19:15 | 442.97 | 443.67 | 442.65 | 443.54 | 213695 
19:30 | 443.54 | 443.59 | 442.50 | 442.70 | 265500 
19:45 | 442.75 | 442.77 | 441.80 | 442.00 | 204182 
20:00 | 442.04 | 442.99 | 441.92 | 442.66 | 207646 
20:15 | 442.63 | 442.84 | 442.23 | 442.33 | 163400 
20:30 | 442.26 | 443.38 | 442.24 | 443.18 | 174475 
20:45 | 443.14 | 443.18 | 442.08 | 442.08 | 129107 
21:00 | 442.08 | 442.28 | 441.23 | 441.83 | 267512 
21:15 | 441.81 | 442.90 | 441.60 | 442.12 | 317925 
21:30 | 442.14 | 442.18 | 439.86 | 440.21 | 377486 
21:45 | 440.19 | 440.37 | 437.67 | 438.24 | 1204965 
15:30 | 440.18 | 440.74 | 438.45 | 438.61 | 613820 
15:45 | 438.70 | 439.15 | 437.76 | 439.10 | 302104 
16:00 | 439.10 | 439.24 | 438.41 | 438.97 | 186272 
16:15 | 438.92 | 438.97 | 436.89 | 437.30 | 296755 
16:30 | 437.31 | 437.83 | 436.24 | 437.31 | 254940 
16:45 | 437.33 | 437.48 | 436.35 | 437.48 | 208967 
17:00 | 437.42 | 437.93 | 436.92 | 437.44 | 149030 [ENTRADA]
17:15 | 437.52 | 437.72 | 436.75 | 437.39 | 155540 
17:30 | 437.30 | 437.73 | 436.46 | 436.94 | 233427 
17:45 | 436.99 | 437.76 | 436.82 | 437.75 | 172786 
18:00 | 437.72 | 437.75 | 435.88 | 436.65 | 154548 
18:15 | 436.71 | 436.88 | 436.33 | 436.45 | 138801 
18:30 | 436.38 | 437.04 | 436.22 | 436.74 | 103184 
18:45 | 436.70 | 437.23 | 436.22 | 436.82 | 115978 
19:00 | 436.81 | 437.17 | 436.41 | 436.70 | 85177 
19:15 | 436.62 | 437.29 | 436.13 | 436.78 | 158563 
19:30 | 436.80 | 437.46 | 436.40 | 437.38 | 158793 
19:45 | 437.38 | 438.00 | 437.19 | 437.91 | 139151 
20:00 | 437.90 | 438.10 | 437.49 | 437.78 | 136294 
20:15 | 437.76 | 438.21 | 437.38 | 437.92 | 205485 
20:30 | 437.89 | 438.38 | 437.83 | 438.34 | 159369 
20:45 | 438.37 | 439.11 | 438.34 | 438.77 | 224281 
21:00 | 438.81 | 439.72 | 438.80 | 439.26 | 346999 
21:15 | 439.25 | 439.49 | 438.89 | 439.04 | 138715 
21:30 | 439.11 | 439.42 | 438.55 | 439.10 | 214260 
21:45 | 439.09 | 439.51 | 438.43 | 438.85 | 650825 
15:30 | 445.78 | 446.03 | 440.56 | 441.59 | 1713463 
15:45 | 441.58 | 442.08 | 440.15 | 441.08 | 1124522 
16:00 | 441.09 | 444.13 | 439.78 | 444.00 | 757435 
16:15 | 444.00 | 444.63 | 442.86 | 443.93 | 505083 
16:30 | 443.95 | 443.98 | 442.59 | 443.40 | 432708 
16:45 | 443.39 | 444.42 | 443.27 | 443.84 | 285735 
17:00 | 443.88 | 444.36 | 443.18 | 443.40 | 237854 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: AAPL | P2_TREND_PUT | ENTRADA: 211.40 | TP: 209.90 | SL: 214.40
Hora  |  Open  |  High  |  Low   |  Close |  Vol
20:00 | 212.50 | 212.61 | 212.23 | 212.58 | 564106 
20:15 | 212.57 | 212.75 | 212.40 | 212.46 | 508392 
20:30 | 212.48 | 212.63 | 212.07 | 212.11 | 590937 
20:45 | 212.12 | 212.56 | 212.03 | 212.55 | 865364 
21:00 | 212.53 | 213.30 | 212.45 | 213.28 | 1328781 
21:15 | 213.28 | 213.40 | 212.97 | 213.21 | 909064 
21:30 | 213.19 | 213.36 | 212.81 | 212.92 | 841512 
21:45 | 212.92 | 213.40 | 212.60 | 212.84 | 2617802 
15:30 | 212.43 | 213.61 | 211.85 | 213.38 | 2917427 
15:45 | 213.35 | 213.36 | 211.91 | 213.11 | 1925638 
16:00 | 213.11 | 213.43 | 212.55 | 213.10 | 1333588 
16:15 | 213.10 | 213.94 | 212.90 | 213.29 | 1525245 
16:30 | 213.29 | 213.72 | 212.64 | 212.67 | 932358 
16:45 | 212.67 | 213.07 | 212.37 | 212.98 | 951348 
17:00 | 212.98 | 213.10 | 212.06 | 212.11 | 902906 
17:15 | 212.12 | 212.90 | 211.88 | 212.62 | 958677 
17:30 | 212.62 | 212.86 | 212.41 | 212.85 | 677562 
17:45 | 212.85 | 212.88 | 212.35 | 212.39 | 526230 
18:00 | 212.38 | 212.64 | 212.08 | 212.18 | 545058 
18:15 | 212.19 | 212.41 | 211.99 | 212.29 | 537613 
18:30 | 212.30 | 212.60 | 211.97 | 212.11 | 603028 
18:45 | 212.11 | 212.45 | 212.00 | 212.01 | 480469 
19:00 | 212.00 | 212.03 | 211.25 | 211.36 | 1050655 
19:15 | 211.36 | 211.38 | 210.58 | 210.96 | 1053476 
19:30 | 210.97 | 211.72 | 210.96 | 211.52 | 706097 
19:45 | 211.51 | 211.75 | 211.37 | 211.70 | 426053 
20:00 | 211.70 | 211.92 | 211.41 | 211.70 | 509787 [ENTRADA]
20:15 | 211.69 | 211.95 | 211.36 | 211.38 | 535233 
20:30 | 211.38 | 212.05 | 211.32 | 211.49 | 845895 
20:45 | 211.49 | 211.57 | 211.19 | 211.40 | 599773 
21:00 | 211.40 | 211.52 | 211.00 | 211.41 | 647135 
21:15 | 211.41 | 211.64 | 210.99 | 211.36 | 674359 
21:30 | 211.34 | 211.60 | 211.24 | 211.46 | 829234 
21:45 | 211.47 | 212.68 | 211.24 | 212.41 | 3966774 
15:30 | 210.95 | 212.53 | 210.91 | 211.11 | 2849527 
15:45 | 211.07 | 211.28 | 210.08 | 210.42 | 1350817 
16:00 | 210.45 | 210.71 | 209.54 | 210.34 | 1216026 
16:15 | 210.34 | 210.58 | 210.06 | 210.28 | 890118 
16:30 | 210.32 | 211.47 | 210.19 | 211.32 | 1051329 
16:45 | 211.29 | 211.94 | 211.19 | 211.92 | 1001547 
17:00 | 211.93 | 212.03 | 211.27 | 211.67 | 891117 
17:15 | 211.67 | 212.80 | 211.67 | 212.50 | 953161 
17:30 | 212.50 | 212.91 | 212.19 | 212.79 | 885709 
17:45 | 212.81 | 212.96 | 211.88 | 211.96 | 1063749 
18:00 | 211.96 | 212.25 | 211.56 | 211.75 | 783886 
18:15 | 211.73 | 212.01 | 211.41 | 211.64 | 583966 
18:30 | 211.63 | 211.69 | 211.21 | 211.66 | 552503 
18:45 | 211.66 | 212.10 | 211.66 | 212.04 | 526378 
19:00 | 212.03 | 212.13 | 211.73 | 212.11 | 548292 
19:15 | 212.10 | 212.28 | 211.95 | 212.12 | 526891 
19:30 | 212.13 | 212.13 | 211.66 | 211.88 | 438773 
19:45 | 211.88 | 211.94 | 211.04 | 211.18 | 679131 
20:00 | 211.18 | 211.33 | 210.68 | 210.83 | 723870 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: AAPL | P2_TREND_PUT | ENTRADA: 211.18 | TP: 209.68 | SL: 214.18
Hora  |  Open  |  High  |  Low   |  Close |  Vol
19:00 | 212.00 | 212.03 | 211.25 | 211.36 | 1050655 
19:15 | 211.36 | 211.38 | 210.58 | 210.96 | 1053476 
19:30 | 210.97 | 211.72 | 210.96 | 211.52 | 706097 
19:45 | 211.51 | 211.75 | 211.37 | 211.70 | 426053 
20:00 | 211.70 | 211.92 | 211.41 | 211.70 | 509787 
20:15 | 211.69 | 211.95 | 211.36 | 211.38 | 535233 
20:30 | 211.38 | 212.05 | 211.32 | 211.49 | 845895 
20:45 | 211.49 | 211.57 | 211.19 | 211.40 | 599773 
21:00 | 211.40 | 211.52 | 211.00 | 211.41 | 647135 
21:15 | 211.41 | 211.64 | 210.99 | 211.36 | 674359 
21:30 | 211.34 | 211.60 | 211.24 | 211.46 | 829234 
21:45 | 211.47 | 212.68 | 211.24 | 212.41 | 3966774 
15:30 | 210.95 | 212.53 | 210.91 | 211.11 | 2849527 
15:45 | 211.07 | 211.28 | 210.08 | 210.42 | 1350817 
16:00 | 210.45 | 210.71 | 209.54 | 210.34 | 1216026 
16:15 | 210.34 | 210.58 | 210.06 | 210.28 | 890118 
16:30 | 210.32 | 211.47 | 210.19 | 211.32 | 1051329 
16:45 | 211.29 | 211.94 | 211.19 | 211.92 | 1001547 
17:00 | 211.93 | 212.03 | 211.27 | 211.67 | 891117 
17:15 | 211.67 | 212.80 | 211.67 | 212.50 | 953161 
17:30 | 212.50 | 212.91 | 212.19 | 212.79 | 885709 
17:45 | 212.81 | 212.96 | 211.88 | 211.96 | 1063749 
18:00 | 211.96 | 212.25 | 211.56 | 211.75 | 783886 
18:15 | 211.73 | 212.01 | 211.41 | 211.64 | 583966 
18:30 | 211.63 | 211.69 | 211.21 | 211.66 | 552503 
18:45 | 211.66 | 212.10 | 211.66 | 212.04 | 526378 
19:00 | 212.03 | 212.13 | 211.73 | 212.11 | 548292 [ENTRADA]
19:15 | 212.10 | 212.28 | 211.95 | 212.12 | 526891 
19:30 | 212.13 | 212.13 | 211.66 | 211.88 | 438773 
19:45 | 211.88 | 211.94 | 211.04 | 211.18 | 679131 
20:00 | 211.18 | 211.33 | 210.68 | 210.83 | 723870 
20:15 | 210.83 | 210.90 | 210.25 | 210.63 | 908114 
20:30 | 210.63 | 211.21 | 210.62 | 211.08 | 663674 
20:45 | 211.06 | 211.09 | 210.49 | 210.65 | 573841 
21:00 | 210.66 | 211.09 | 210.59 | 210.73 | 698188 
21:15 | 210.73 | 211.05 | 210.31 | 210.36 | 782624 
21:30 | 210.35 | 210.71 | 210.15 | 210.46 | 800000 
21:45 | 210.45 | 211.47 | 210.37 | 211.45 | 3741494 
15:30 | 212.36 | 212.57 | 211.01 | 211.42 | 5428505 
15:45 | 211.42 | 211.79 | 211.03 | 211.75 | 957450 
16:00 | 211.72 | 211.93 | 211.30 | 211.54 | 1198750 
16:15 | 211.53 | 211.54 | 210.56 | 210.60 | 1074420 
16:30 | 210.59 | 210.66 | 209.77 | 209.85 | 1145167 
16:45 | 209.85 | 210.53 | 209.82 | 210.23 | 891872 
17:00 | 210.24 | 210.44 | 209.99 | 210.16 | 705217 
17:15 | 210.15 | 210.49 | 209.90 | 210.08 | 623062 
17:30 | 210.09 | 210.83 | 210.09 | 210.52 | 844785 
17:45 | 210.52 | 210.92 | 210.35 | 210.67 | 675290 
18:00 | 210.67 | 210.89 | 210.45 | 210.82 | 474887 
18:15 | 210.81 | 211.15 | 210.71 | 210.96 | 657815 
18:30 | 210.96 | 211.12 | 210.70 | 210.96 | 409247 
18:45 | 210.97 | 211.17 | 210.91 | 210.91 | 444767 
19:00 | 210.91 | 211.25 | 210.76 | 211.18 | 522006 
RESULTADO: EN CURSO
============================================================


============================================================
ANALISIS: AAPL | P2_TREND_PUT | ENTRADA: 211.45 | TP: 209.95 | SL: 214.45
Hora  |  Open  |  High  |  Low   |  Close |  Vol
21:00 | 211.40 | 211.52 | 211.00 | 211.41 | 647135 
21:15 | 211.41 | 211.64 | 210.99 | 211.36 | 674359 
21:30 | 211.34 | 211.60 | 211.24 | 211.46 | 829234 
21:45 | 211.47 | 212.68 | 211.24 | 212.41 | 3966774 
15:30 | 210.95 | 212.53 | 210.91 | 211.11 | 2849527 
15:45 | 211.07 | 211.28 | 210.08 | 210.42 | 1350817 
16:00 | 210.45 | 210.71 | 209.54 | 210.34 | 1216026 
16:15 | 210.34 | 210.58 | 210.06 | 210.28 | 890118 
16:30 | 210.32 | 211.47 | 210.19 | 211.32 | 1051329 
16:45 | 211.29 | 211.94 | 211.19 | 211.92 | 1001547 
17:00 | 211.93 | 212.03 | 211.27 | 211.67 | 891117 
17:15 | 211.67 | 212.80 | 211.67 | 212.50 | 953161 
17:30 | 212.50 | 212.91 | 212.19 | 212.79 | 885709 
17:45 | 212.81 | 212.96 | 211.88 | 211.96 | 1063749 
18:00 | 211.96 | 212.25 | 211.56 | 211.75 | 783886 
18:15 | 211.73 | 212.01 | 211.41 | 211.64 | 583966 
18:30 | 211.63 | 211.69 | 211.21 | 211.66 | 552503 
18:45 | 211.66 | 212.10 | 211.66 | 212.04 | 526378 
19:00 | 212.03 | 212.13 | 211.73 | 212.11 | 548292 
19:15 | 212.10 | 212.28 | 211.95 | 212.12 | 526891 
19:30 | 212.13 | 212.13 | 211.66 | 211.88 | 438773 
19:45 | 211.88 | 211.94 | 211.04 | 211.18 | 679131 
20:00 | 211.18 | 211.33 | 210.68 | 210.83 | 723870 
20:15 | 210.83 | 210.90 | 210.25 | 210.63 | 908114 
20:30 | 210.63 | 211.21 | 210.62 | 211.08 | 663674 
20:45 | 211.06 | 211.09 | 210.49 | 210.65 | 573841 
21:00 | 210.66 | 211.09 | 210.59 | 210.73 | 698188 [ENTRADA]
21:15 | 210.73 | 211.05 | 210.31 | 210.36 | 782624 
21:30 | 210.35 | 210.71 | 210.15 | 210.46 | 800000 
21:45 | 210.45 | 211.47 | 210.37 | 211.45 | 3741494 
15:30 | 212.36 | 212.57 | 211.01 | 211.42 | 5428505 
15:45 | 211.42 | 211.79 | 211.03 | 211.75 | 957450 
16:00 | 211.72 | 211.93 | 211.30 | 211.54 | 1198750 
16:15 | 211.53 | 211.54 | 210.56 | 210.60 | 1074420 
16:30 | 210.59 | 210.66 | 209.77 | 209.85 | 1145167 
16:45 | 209.85 | 210.53 | 209.82 | 210.23 | 891872 
17:00 | 210.24 | 210.44 | 209.99 | 210.16 | 705217 
17:15 | 210.15 | 210.49 | 209.90 | 210.08 | 623062 
17:30 | 210.09 | 210.83 | 210.09 | 210.52 | 844785 
17:45 | 210.52 | 210.92 | 210.35 | 210.67 | 675290 
18:00 | 210.67 | 210.89 | 210.45 | 210.82 | 474887 
18:15 | 210.81 | 211.15 | 210.71 | 210.96 | 657815 
18:30 | 210.96 | 211.12 | 210.70 | 210.96 | 409247 
18:45 | 210.97 | 211.17 | 210.91 | 210.91 | 444767 
19:00 | 210.91 | 211.25 | 210.76 | 211.18 | 522006 
19:15 | 211.18 | 211.42 | 210.98 | 211.11 | 514859 
19:30 | 211.11 | 211.30 | 211.01 | 211.10 | 328293 
19:45 | 211.09 | 211.15 | 210.73 | 210.98 | 482639 
20:00 | 210.98 | 211.20 | 210.92 | 211.20 | 451749 
20:15 | 211.20 | 211.74 | 211.17 | 211.62 | 676672 
20:30 | 211.63 | 211.90 | 211.56 | 211.61 | 609471 
20:45 | 211.62 | 211.80 | 211.43 | 211.53 | 552003 
21:00 | 211.52 | 211.93 | 211.51 | 211.74 | 581904 
RESULTADO: EXITO
============================================================


============================================================
