
============================================================
ANALISIS: AMD | c3_bounce_call | ENTRADA: 202.57 | TP: 214.72 | SL: 197.51
Hora  |  Open  |  High  |  Low   |  Close |  Vol
14:30 | 206.42 | 209.11 | 205.79 | 206.51 | 2290257 
14:45 | 206.51 | 208.23 | 206.40 | 208.19 | 1466041 
15:00 | 208.21 | 208.34 | 206.10 | 206.74 | 1157594 
15:15 | 206.68 | 208.17 | 206.65 | 207.38 | 922893 
15:30 | 207.37 | 207.50 | 205.71 | 206.26 | 982518 
15:45 | 206.25 | 207.58 | 205.75 | 206.85 | 992912 
16:00 | 206.90 | 208.26 | 206.76 | 207.77 | 912782 
16:15 | 207.78 | 207.98 | 206.50 | 206.99 | 658864 
16:30 | 207.00 | 207.70 | 204.75 | 205.25 | 854194 
16:45 | 205.24 | 205.33 | 201.76 | 201.98 | 828593 
17:00 | 201.98 | 203.76 | 201.71 | 203.58 | 916896 
17:15 | 203.57 | 203.76 | 202.51 | 202.57 | 602697 
17:30 | 202.61 | 203.87 | 202.50 | 203.59 | 529044 
17:45 | 203.53 | 204.37 | 203.05 | 203.52 | 484259 
18:00 | 203.53 | 204.17 | 203.45 | 203.48 | 526648 
18:15 | 203.44 | 203.78 | 202.94 | 203.55 | 329041 
18:30 | 203.59 | 204.67 | 203.55 | 204.08 | 449859 
18:45 | 204.09 | 204.74 | 203.71 | 204.72 | 320670 
19:00 | 204.74 | 205.13 | 204.24 | 204.78 | 439316 
19:15 | 204.78 | 204.94 | 204.42 | 204.59 | 339492 
19:30 | 204.63 | 205.79 | 204.63 | 205.66 | 515361 
19:45 | 205.65 | 205.90 | 204.80 | 204.95 | 452359 
20:00 | 204.94 | 204.97 | 204.20 | 204.59 | 478583 
20:15 | 204.58 | 204.70 | 203.91 | 204.49 | 405576 
20:30 | 204.46 | 204.66 | 203.55 | 203.66 | 451437 
20:45 | 203.69 | 203.98 | 202.62 | 202.62 | 1313308 
14:30 | 201.69 | 204.92 | 201.17 | 203.09 | 1556506 [ENTRADA]
14:45 | 203.09 | 204.16 | 201.80 | 202.57 | 988070 
15:00 | 202.53 | 203.50 | 200.79 | 201.36 | 995478 
15:15 | 201.50 | 201.95 | 200.16 | 201.00 | 733584 
15:30 | 200.95 | 202.47 | 200.91 | 202.31 | 582492 
15:45 | 202.31 | 203.16 | 201.09 | 201.97 | 914260 
16:00 | 201.98 | 203.49 | 201.96 | 203.34 | 679081 
16:15 | 203.34 | 205.13 | 203.23 | 204.59 | 752316 
16:30 | 204.60 | 205.02 | 203.95 | 204.35 | 557077 
16:45 | 204.33 | 204.50 | 202.89 | 203.50 | 552115 
17:00 | 203.55 | 203.88 | 202.99 | 203.12 | 367092 
17:15 | 203.15 | 203.59 | 203.03 | 203.41 | 274009 
17:30 | 203.38 | 203.51 | 202.36 | 203.25 | 283589 
17:45 | 203.26 | 203.75 | 201.50 | 201.67 | 637041 
18:00 | 201.69 | 202.34 | 200.13 | 200.72 | 676782 
18:15 | 200.72 | 201.44 | 200.21 | 201.28 | 459963 
18:30 | 201.27 | 201.81 | 200.80 | 201.53 | 404970 
18:45 | 201.53 | 203.88 | 201.36 | 203.72 | 590759 
19:00 | 203.69 | 204.41 | 203.10 | 204.05 | 646467 
19:15 | 204.09 | 204.75 | 203.48 | 204.67 | 455034 
19:30 | 204.67 | 206.19 | 204.46 | 205.83 | 891773 
19:45 | 205.85 | 205.94 | 205.26 | 205.42 | 496018 
20:00 | 205.43 | 206.10 | 205.31 | 206.03 | 501146 
20:15 | 206.04 | 206.43 | 205.65 | 205.77 | 709613 
20:30 | 205.74 | 205.98 | 205.15 | 205.61 | 659631 
20:45 | 205.58 | 205.58 | 204.61 | 205.39 | 1157651 
14:30 | 211.50 | 218.68 | 211.50 | 216.54 | 4962528 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: AMD | c3_bounce_call | ENTRADA: 201.72 | TP: 213.82 | SL: 196.68
Hora  |  Open  |  High  |  Low   |  Close |  Vol
17:00 | 208.67 | 209.20 | 208.08 | 208.64 | 770599 
17:15 | 208.61 | 208.62 | 206.04 | 206.06 | 1018218 
17:30 | 206.10 | 207.25 | 205.98 | 206.78 | 821832 
17:45 | 206.76 | 206.87 | 205.43 | 206.48 | 897463 
18:00 | 206.45 | 206.53 | 205.75 | 206.02 | 573843 
18:15 | 206.00 | 206.32 | 205.25 | 205.45 | 629810 
18:30 | 205.48 | 206.68 | 205.47 | 205.76 | 681194 
18:45 | 205.75 | 205.88 | 204.70 | 205.04 | 796187 
19:00 | 205.02 | 206.03 | 205.02 | 205.76 | 676392 
19:15 | 205.75 | 205.80 | 205.00 | 205.18 | 490963 
19:30 | 205.19 | 205.59 | 204.83 | 205.05 | 602612 
19:45 | 205.05 | 205.92 | 204.70 | 205.72 | 696932 
20:00 | 205.74 | 205.76 | 203.92 | 204.45 | 919626 
20:15 | 204.45 | 205.04 | 204.12 | 204.53 | 696533 
20:30 | 204.55 | 204.59 | 203.78 | 204.06 | 936817 
20:45 | 204.04 | 204.31 | 203.43 | 203.83 | 2211839 
14:30 | 201.77 | 202.95 | 200.21 | 201.75 | 1494688 
14:45 | 201.74 | 203.11 | 198.13 | 198.37 | 1579638 
15:00 | 198.34 | 200.61 | 198.00 | 200.22 | 1219382 
15:15 | 200.16 | 200.65 | 198.80 | 198.92 | 1059497 
15:30 | 198.92 | 199.43 | 197.69 | 197.94 | 826698 
15:45 | 197.95 | 199.42 | 197.76 | 199.05 | 644970 
