ticker,company,sector,market_cap_b,pe_ratio,dividend_yield,beta,avg_volume_m,description
SPY,SPDR S&P 500 ETF,ETF,0,0,1.2,1.0,85.0,Largest US equity ETF tracking S&P 500
QQQ,Invesco QQQ Trust,ETF,0,0,0.5,1.2,45.0,NASDAQ-100 index ETF tech-heavy
A,Agilent Technologies,Healthcare,42.5,28.3,0.6,1.1,2.1,Life sciences and diagnostics
AAL,American Airlines,Industrials,11.2,5.8,0.0,1.8,28.5,Major US airline
AAPL,Apple Inc,Technology,3200,32.5,0.5,1.2,58.0,Consumer electronics and software
ABBV,AbbVie Inc,Healthcare,310,35.2,3.5,0.6,6.8,Pharmaceuticals immunology
ABNB,Airbnb Inc,Consumer Discretionary,88,22.1,0.0,1.3,5.2,Online marketplace lodging
ABT,Abbott Laboratories,Healthcare,205,32.8,1.8,0.7,6.5,Medical devices nutrition
ACGL,Arch Capital Group,Financials,35,12.5,0.0,0.9,1.8,Insurance and reinsurance
ACN,Accenture plc,Technology,215,28.9,1.4,1.1,3.2,IT services consulting
ADBE,Adobe Inc,Technology,225,45.2,0.0,1.3,3.1,Creative software cloud
ADI,Analog Devices,Technology,105,38.5,1.9,1.2,2.8,Semiconductors analog
ADM,Archer-Daniels-Midland,Consumer Staples,28,11.2,3.2,0.8,4.2,Agricultural commodities
ADP,Automatic Data Processing,Technology,105,27.8,2.1,0.9,2.0,Payroll HR services
ADSK,Autodesk Inc,Technology,58,48.5,0.0,1.3,1.5,CAD 3D design software
AEE,Ameren Corp,Utilities,23,19.5,2.8,0.4,1.5,Electric gas utility
AEP,American Electric Power,Utilities,52,19.8,3.3,0.4,2.5,Electric utility power
AES,AES Corp,Utilities,11,8.5,4.2,0.8,7.5,Independent power producer
AFG,American Financial Group,Financials,13,11.2,2.5,0.9,0.7,Insurance property casualty
AFRM,Affirm Holdings,Financials,18,45.0,0.0,2.5,8.5,Buy now pay later fintech
AFL,Aflac Inc,Financials,55,11.5,2.1,0.8,3.5,Supplemental insurance
AIG,American International Group,Financials,42,9.8,2.3,1.1,5.5,Insurance global
AIZ,Assurant Inc,Financials,10,13.5,1.8,0.9,0.6,Risk management insurance
AJG,Arthur J Gallagher,Financials,55,35.2,0.8,1.0,1.5,Insurance brokerage
AKAM,Akamai Technologies,Technology,15,22.5,0.0,1.2,2.0,CDN cloud security
ALB,Albemarle Corp,Materials,12,8.5,1.2,1.8,3.5,Lithium specialty chemicals
ALGN,Align Technology,Healthcare,20,35.5,0.0,1.4,1.2,Invisalign clear aligners
ALL,Allstate Corp,Financials,48,12.8,1.9,1.0,2.5,Insurance property casualty
ALLE,Allegion plc,Industrials,12,24.5,1.5,0.9,0.8,Security door hardware
AMAT,Applied Materials,Technology,135,21.5,0.9,1.5,8.5,Semiconductor equipment
AMCR,Amcor plc,Materials,15,16.5,4.5,0.8,6.5,Packaging solutions
AMD,Advanced Micro Devices,Technology,215,48.5,0.0,1.7,65.0,Semiconductors CPUs GPUs
AMDL,GraniteShares 2x Long AMD,ETF,0,0,0.0,3.4,15.0,Leveraged AMD ETF 2x
AME,AMETEK Inc,Industrials,40,26.5,0.7,1.1,1.5,Electronic instruments
AMGN,Amgen Inc,Healthcare,155,16.5,3.1,0.5,3.0,Biotechnology therapeutics
AMP,Ameriprise Financial,Financials,45,14.5,1.3,1.1,1.2,Wealth management
AMT,American Tower,Real Estate,95,45.5,2.5,0.7,1.8,REIT communications towers
AMZN,Amazon.com Inc,Consumer Discretionary,2100,65.5,0.0,1.2,55.0,E-commerce cloud AI
ANET,Arista Networks,Technology,95,42.5,0.0,1.3,2.5,Networking switches cloud
AON,Aon plc,Financials,68,32.5,0.8,1.0,1.5,Risk management insurance
AOS,A O Smith Corp,Industrials,11,25.5,1.5,1.0,0.8,Water heaters boilers
APA,APA Corp,Energy,9,7.5,4.5,1.5,6.5,Oil gas exploration
APD,Air Products,Materials,58,28.5,2.5,0.7,1.5,Industrial gases
APH,Amphenol Corp,Technology,55,32.5,1.0,1.1,3.5,Connectors sensors
APTV,Aptiv PLC,Consumer Discretionary,25,28.5,0.0,1.4,2.5,Automotive technology
ARE,Alexandria Real Estate,Real Estate,22,35.5,4.2,0.9,1.2,REIT life science offices
ARM,ARM Holdings,Technology,150,185.5,0.0,1.5,6.5,Semiconductor IP design
ARKK,ARK Innovation ETF,ETF,6,0,0.0,1.6,8.5,Actively managed tech ETF
ATO,Atmos Energy,Utilities,18,21.5,2.5,0.5,1.2,Natural gas distribution
AVB,AvalonBay Communities,Real Estate,30,35.5,3.2,0.8,1.0,REIT residential apartments
AVGO,Broadcom Inc,Technology,750,38.5,1.5,1.1,4.5,Semiconductors infrastructure
AVY,Avery Dennison,Materials,18,25.5,1.8,1.0,0.7,Labeling packaging materials
AWK,American Water Works,Utilities,28,35.5,1.5,0.5,1.2,Water wastewater utility
AXON,Axon Enterprise,Industrials,35,95.5,0.0,1.1,1.5,TASER body cameras SaaS
AXP,American Express,Financials,195,20.5,1.2,1.1,3.5,Credit card financial services
AYI,Acuity Brands,Industrials,8,22.5,0.0,1.2,0.5,Lighting building controls
AZO,AutoZone Inc,Consumer Discretionary,55,22.5,0.0,1.0,0.5,Auto parts retailer
BA,Boeing Co,Industrials,125,0,0.0,1.5,8.5,Aerospace defense commercial
BABA,Alibaba Group,Consumer Discretionary,215,12.5,0.0,0.8,18.5,Chinese e-commerce cloud
BAC,Bank of America,Financials,325,13.5,2.5,1.2,45.0,Major US bank
BALL,Ball Corp,Materials,18,22.5,1.0,1.1,1.5,Aluminum packaging
BAX,Baxter International,Healthcare,18,22.5,1.8,0.7,2.5,Medical equipment supplies
BBWI,Bath Body Works,Consumer Discretionary,8,9.5,3.5,1.2,3.5,Personal care retail
BBY,Best Buy,Consumer Discretionary,20,13.5,4.2,1.1,3.5,Consumer electronics retail
BDX,Becton Dickinson,Healthcare,68,35.5,1.3,0.5,1.5,Medical technology devices
BEN,Franklin Resources,Financials,12,11.5,5.5,1.3,3.5,Investment management
BG,Bunge Global,Consumer Staples,14,9.5,2.8,1.0,2.0,Agribusiness commodities
BIIB,Biogen Inc,Healthcare,30,16.5,0.0,0.5,1.8,Biotechnology neurology
BIO,Bio-Rad Laboratories,Healthcare,10,35.5,0.0,1.0,0.4,Life science research
BITX,2x Bitcoin Strategy,ETF,1,0,0.0,3.5,5.5,Leveraged Bitcoin futures
BK,Bank of New York Mellon,Financials,52,14.5,2.5,1.1,4.5,Custody bank services
BKNG,Booking Holdings,Consumer Discretionary,155,35.5,0.0,1.2,0.4,Online travel booking
BKR,Baker Hughes,Energy,35,22.5,2.2,1.1,6.5,Oil field equipment
BLDR,Builders FirstSource,Industrials,18,12.5,0.0,1.5,3.5,Building materials
BLK,BlackRock Inc,Financials,145,25.5,2.3,1.1,0.8,Investment management ETF
BMY,Bristol-Myers Squibb,Healthcare,105,35.5,4.5,0.5,10.5,Pharmaceuticals
BR,Broadridge Financial,Technology,25,35.5,1.5,0.9,0.5,Investor communications
BSX,Boston Scientific,Healthcare,125,45.5,0.0,0.8,4.5,Medical devices cardiovascular
BWA,BorgWarner,Consumer Discretionary,9,10.5,2.5,1.4,3.5,Auto components
BX,Blackstone Inc,Financials,125,35.5,2.8,1.3,3.5,Private equity real estate
BYND,Beyond Meat,Consumer Staples,1,0,0.0,1.8,3.5,Plant-based meat
C,Citigroup Inc,Financials,125,11.5,3.5,1.4,18.5,Global bank
